,数字孪生组服务器 预算10W (工作站CPU、256G超大内存、100G企业级硬盘、4090显卡、电源以及散热冗余）,,
品类,内容,渠道,价格（元）
CPU,AMD Threadr线程撕裂者7980X 64核128线程,京东,
主板,挚科Pro WS TRX50-SAGE WIFI7 撕裂者PRO7000工作站主板 万兆 3*M.2 单主板,京东（板U套装）,54999
内存,挚科（ZHIKE）DDR5 64G 4800MHz RDIMM RECC 服务器内存 海力士原厂 64G*4,京东自营,7196
散热,abee Apex Plus i360一体式CPU水冷散热器 标配 LGA1700 abee TR360,京东,2299
硬盘,宏碁掠夺者（PREDATOR）2TB SSD固态硬盘 M.2接口(NVMe协议) GM7000系列｜NVMe PCIe 4.0读速7400MB/s * 2,京东自营,1398
硬盘,东芝（TOSHIBA） 企业级硬盘 垂直式CMR 网络存储 3.5英寸机械硬盘 SATA接口 16TB【7200转】MG08ACA16TE * 6,京东自营,10794
显卡,影驰 GeForce RTX4090 24G/GDDR6X 360水冷版 金属大师 AIO OC 高频版,京东自营,19999
电源,新版ATX3.0 海韵SEASONIC 至尊旗舰白金PRIME PX1600W电源 原生12VHPWR PCIe5.0 支持4090,京东自营,3399
,艾湃电竞（Apexgaming） ATX3.0 PCI-E5.0 ODIN 奧丁 1200W 全模 白金牌 全日系 智能启停,京东自营,1499
机箱,追风者(PHANTEKS) 813P专业级水冷电脑机箱(支持双电源/2x480冷排/双路服务器主板/配5风扇),京东自营,1499
,,总计：,103082
